id,label,subTypeOf,equivalentClass,subTypes,supersedes,supersededBy,isPartOf
https://schema.org/MedicalTherapy,MedicalTherapy,https://schema.org/TherapeuticProcedure,,"https://schema.org/OccupationalTherapy, https://schema.org/PalliativeProcedure, https://schema.org/PhysicalTherapy, https://schema.org/RadiationTherapy, https://schema.org/RespiratoryTherapy",,,
https://schema.org/MedicalTrial,MedicalTrial,https://schema.org/MedicalStudy,,,,,
https://schema.org/MedicalTrialDesign,MedicalTrialDesign,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MedicalWebPage,MedicalWebPage,https://schema.org/WebPage,,,,,
https://schema.org/MedicineSystem,MedicineSystem,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MeetingRoom,MeetingRoom,https://schema.org/Room,,,,,
https://schema.org/MemberProgram,MemberProgram,https://schema.org/Intangible,,,,,https://pending.schema.org
https://schema.org/MemberProgramTier,MemberProgramTier,https://schema.org/Intangible,,,,,https://pending.schema.org
https://schema.org/MensClothingStore,MensClothingStore,https://schema.org/Store,,,,,
https://schema.org/Menu,Menu,https://schema.org/CreativeWork,,,,,
https://schema.org/MenuItem,MenuItem,https://schema.org/Intangible,,,,,
https://schema.org/MenuSection,MenuSection,https://schema.org/CreativeWork,,,,,
https://schema.org/MerchantReturnEnumeration,MerchantReturnEnumeration,https://schema.org/Enumeration,,,https://schema.org/ProductReturnEnumeration,,https://pending.schema.org
https://schema.org/MerchantReturnFiniteReturnWindow,MerchantReturnFiniteReturnWindow,,,,https://schema.org/ProductReturnFiniteReturnWindow,,https://pending.schema.org
https://schema.org/MerchantReturnNotPermitted,MerchantReturnNotPermitted,,,,https://schema.org/ProductReturnNotPermitted,,https://pending.schema.org
https://schema.org/MerchantReturnPolicy,MerchantReturnPolicy,https://schema.org/Intangible,,,https://schema.org/ProductReturnPolicy,,https://pending.schema.org
https://schema.org/MerchantReturnPolicySeasonalOverride,MerchantReturnPolicySeasonalOverride,https://schema.org/Intangible,,,,,https://pending.schema.org
https://schema.org/MerchantReturnUnlimitedWindow,MerchantReturnUnlimitedWindow,,,,https://schema.org/ProductReturnUnlimitedWindow,,https://pending.schema.org
https://schema.org/MerchantReturnUnspecified,MerchantReturnUnspecified,,,,https://schema.org/ProductReturnUnspecified,,https://pending.schema.org
https://schema.org/Message,Message,https://schema.org/CreativeWork,,https://schema.org/EmailMessage,,,
https://schema.org/MiddleSchool,MiddleSchool,https://schema.org/EducationalOrganization,,,,,
https://schema.org/Midwifery,Midwifery,https://schema.org/MedicalBusiness,,,,,
https://schema.org/MinimumAdvertisedPrice,MinimumAdvertisedPrice,,,,,,https://pending.schema.org
https://schema.org/MinorHumanEditsDigitalSource,MinorHumanEditsDigitalSource,,,,,,https://pending.schema.org
https://schema.org/MisconceptionsHealthAspect,MisconceptionsHealthAspect,,,,,,https://pending.schema.org
https://schema.org/MixedEventAttendanceMode,MixedEventAttendanceMode,,,,,,https://pending.schema.org
https://schema.org/MixtapeAlbum,MixtapeAlbum,,,,,,
https://schema.org/MobileApplication,MobileApplication,https://schema.org/SoftwareApplication,,,,,
https://schema.org/MobilePhoneStore,MobilePhoneStore,https://schema.org/Store,,,,,
https://schema.org/MobileWebPlatform,MobileWebPlatform,,,,,,https://pending.schema.org
https://schema.org/MolecularEntity,MolecularEntity,https://schema.org/BioChemEntity,,,,,https://pending.schema.org
https://schema.org/Monday,Monday,,,,,,
https://schema.org/MonetaryAmount,MonetaryAmount,https://schema.org/StructuredValue,,,https://schema.org/DatedMoneySpecification,,
https://schema.org/MonetaryAmountDistribution,MonetaryAmountDistribution,https://schema.org/QuantitativeValueDistribution,,,,,
https://schema.org/MonetaryGrant,MonetaryGrant,https://schema.org/Grant,,,,,https://pending.schema.org
https://schema.org/MoneyTransfer,MoneyTransfer,https://schema.org/TransferAction,,,,,https://pending.schema.org
https://schema.org/MortgageLoan,MortgageLoan,https://schema.org/LoanOrCredit,,,,,https://pending.schema.org
https://schema.org/Mosque,Mosque,https://schema.org/PlaceOfWorship,,,,,
https://schema.org/Motel,Motel,https://schema.org/LodgingBusiness,,,,,
https://schema.org/Motorcycle,Motorcycle,https://schema.org/Vehicle,,,,,https://auto.schema.org
https://schema.org/MotorcycleDealer,MotorcycleDealer,https://schema.org/AutomotiveBusiness,,,,,
https://schema.org/MotorcycleRepair,MotorcycleRepair,https://schema.org/AutomotiveBusiness,,,,,
https://schema.org/MotorizedBicycle,MotorizedBicycle,https://schema.org/Vehicle,,,,,https://auto.schema.org
https://schema.org/Mountain,Mountain,https://schema.org/Landform,,,,,
https://schema.org/MoveAction,MoveAction,https://schema.org/Action,,"https://schema.org/ArriveAction, https://schema.org/DepartAction, https://schema.org/TravelAction",,,
https://schema.org/Movie,Movie,https://schema.org/CreativeWork,,,,,
https://schema.org/MovieClip,MovieClip,https://schema.org/Clip,,,,,
https://schema.org/MovieRentalStore,MovieRentalStore,https://schema.org/Store,,,,,
https://schema.org/MovieSeries,MovieSeries,https://schema.org/CreativeWorkSeries,,,,,
